ma,ten,dvt,don_gia_moi
NG60/21BM,Nối giảm Ø 60/21 BM,Cái,8061
NG60/27BM,Nối giảm Ø 60/27 PN15 BM,Cái,12582
NG60/34BM,Nối giảm Ø 60/34 BM,Cái,7634
NG60/42BMD,Nối giảm Ø 60/42 dày BM,Cái,6696
NG60/42BMM,Nối giảm Ø 60/42 BM,Cái,5443
NG60/49BMD,Nối giảm Ø 60/49 BM dày,Cái,10790
NG60/49BMM,Nối giảm Ø 60/49 BM,Cái,5076
NG63/25BM,Côn thu (Nối giảm)  Ø 63/25 PP-R BM,Cái,15650
NG63/32BM,Côn thu (Nối giảm)  Ø 63/32 PP-R BM,Cái,18207
NG63/40PPR,Côn thu (Nối giảm)  Ø 63/40 PPR BM,Cái,15929
NG63/50BM,Côn thu (Nối giảm) Ø 63/50 PP-R BM,Cái,27684
NG75/40PPR,Nối giảm  Ø75/40 PP-R BM VN,Cái,80460
NG90/34BM,Nối giảm  90/34 BM,Cái,7554
NG90/40PPRVN,Nối giảm  Ø 90/40 PP-R BM VN,Cái,101736
NG90/42BM,Nối giảm 90/42 BM,Cái,6058
NG90/42DHD,Nối giảm Ø 90/42 DHD,Cái,152752
NG90/42RM,Nối giảm Ø 90/42 RM,Cái,0
NG90/49BMD,Nối giảm Ø 90/49 BM dày,Cái,10334
NG90/49DHD,Nối giảm Ø 90/49 ĐHD,Cái,28613
NG90/60BMD,Nối giảm Ø 90/60 BM dày,Cái,7096
NG90/60BMM,Nối giảm Ø 90/60 PN6 BM,Cái,6771
NG90/75BM,Nối giảm Ø 90/75 PN6 BM,Cái,12804
NGD90/27DHM,Nối gảm  Ø 90/27 ĐH M,Cái,0
NGD90/34DHM,Nối gảm  Ø 90/34 ĐH M,Cái,0
NOI110PPR,Nối 110 PPR bình minh,Cái,243648
NOI114BMD,Nối Bình Minh Ø 114 dày,Cái,72741
NOI114BMM,Nối Bình Minh Ø 114 mỏng,Cái,12233
NOI140BMM,Nối bình minh 140 mỏng PN6,Cái,57776
NOI168BMD,Nối 168 Dầy BM,Cái,322272
NOI168BMM,Nối 168 Mỏng BM,Cái,87747
NOI16SINO,Nối 16 SINO - E242/16,Cái,1116
NOI20BMVN,Nối 20 PPR BM VN,Cái,385
NOI20PL,Nối 20 PPR PIPELIFE,Cái,7590
NOI20SINO,Nối 20 SINO - E242/20,Cái,1091
NOI21BM,Nối Bình Minh Ø 21 dày,Cái,1841
NOI220BMD,Nối bình minh 220M,Cái,297864
NOI25BMVN,Nối 25 PPR BM VN,Cái,1657
NOI25PL,Nối 25 PPR PIPELIFE,Cái,10340
NOI25PPR,Măng sông (Nối) Ø 25 PPR đen,Cái,1900
NOI25SINO,Nối 25 SINO - E242/25,Cái,799
NOI25UVBM,Nối PPR 25 UV BM,Cái,2117
NOI27BM,Nối Bình Minh Ø 27 dày,Cái,2148
NOI2DRT21THAU,Nối 2 đầu RT 21 Thau,Cái,13334
NOI32BMVN,Nối 32 PPR BM VN,Cái,3796
NOI32DEN,Măng sông (Nối) Ø 32 PPR,Cái,350
NOI32PL,Nối 32 PPR PIPELIFE,Cái,18590
NOI32SINO,Nối 32 SINO - E242/32,Cái,2058
NOI34BM,Nối Bình Minh Ø 34 dày,Cái,3665
NOI40BMVN,Nối 40 PPR BM VN,Cái,6598
NOI42BM,Nối Bình Minh Ø 42 dày,Cái,4626
NOI49BM,Nối Bình Minh Ø 49 dày,Cái,2209
NOI50PPRBM,Nối Ø 50 PPR BMVN,Cái,10788
NOI60BMD,Nối Bình Minh Ø 60 dày,Cái,2174
NOI60BMM,Nối Bình Minh Ø 60 mỏng,Cái,3889
NOI63PPRBMVN,Măng sông (Nối) Ø 63 PPR BM VN,Cái,62209
NOI75BMM,Nối Bình Minh Ø 75 mỏng,Cái,3342
NOI75PPR,Măng sông (Nối) Ø 75 PP-R BM,Cái,88776
NOI90BMD,Nối Bình Minh Ø 90 dày,Cái,46415
NOI90BMM,Nối Bình Minh Ø 90 mỏng,Cái,7957
NOI90PPR,Măng sông (Nối) Ø 90 PP-R BM,Cái,139200
NOIDIEN25,Nối điện 25,Cái,2500
NOIRT2D21,Nối ren trong 2 đầu 21 inox 304,Cái,26978
NR-1,Nối,Cái,0
NR-2,N,Cái,24970
NRN114BM,Nối ren ngoài BM Ø 114 dày,Cái,73332
NRN201/2BM,Nối ren ngoài Ø 20*1/2 PP-R BM,Cái,164328
NRN20X1/2PL,Nối RN 20 x 1/2 PPR PIPELIFE,Cái,89650
NRN21BMD,Nối ren ngoài BM Ø 21 dày,Cái,581
NRN21THAUBM,Nối ren ngoài  BM Ø 21 thau,Cái,14237
NRN25251/2BM,Nối ren ngoài Ø 25*1/2 PP-R BM,Cái,30383
NRN253/4PPR,Nối ren ngoài Ø 25*3/4 PPR đen,Cái,9724
NRN253/4UV,Nối RN thau PPR 25 x 3/4 UV BM,Cái,24010
NRN25X1/2PL,Nối RN 25 x 1/2 PPR PIPELIFE,Cái,95920
NRN25X3/4BMVN,Nối RN 25 x 3/4 PPR BM VN,Cái,20264
NRN25X3/4PL,Nối RN 25 x 3/4 PPR PIPELIFE,Cái,138600
NRN27/34,Nối ren ngoài 27 BM ống Ø 34,Cái,2677
NRN2721THAUBM,Nối RN 21 Ø 27 thau BM,Cái,10773
NRN27BMD,Nối ren ngoài BM Ø 27 dày,Cái,1583
NRN27THAUBM,Nối ren ngoài BM Ø 27 dày thau,Cái,12923
NRN2D21D,Nối ren ngoài 2 đầu Ø 21 đồng,Cái,5500
NRN2D21INOX,Nối ren ngoài 2 đầu Ø 21 INOX,Cái,4000
NRN2D27D,Nối ren ngoài 2 đầu Ø 27 đồng,Cái,17500
NRN2D34INOX,Nối ren ngoài 2 đầu Ø 34 INOX,Cái,40000
NRN2D42INOX,Nối ren ngoài 2 đầu Ø 42 INOX,Cái,165499
NRN2DAU27/21THAU,Nối ren ngoài 2 đầu Ø 27/21 đồng,Cái,14539
NRN2DINOX49,Hai đầu ren ngoài inox 49,Cái,85000
NRN32 FUSENG,Nối ren ngoài Ø 32*1 fuseng,Cái,70100
NRN32BM,Nối ren ngoài Ø 32*1 PP-R BM,Cái,177120
NRN32BMVN,Nối RN 32 x1'' BM VN,Cái,21599
NRN32FUSENG,Nối RN 32*1,Cái,28561
NRN34/27BM,Nối ren ngoài 34 Ø 27 BM,Cái,1503
NRN34/27DH,Nối ren ngoài Ø 34/27 DH,Cái,0
NRN34BMD,Nối ren ngoài BM Ø 34 dày,Cái,2679
NRN40BMVN,Nối RN 40 x 1.1/4 BM VN,Cái,80359
NRN40BMVNn,Nối ren ngoài Ø 40*1.1/4 PP-R BMVN,Cái,548856
NRN42/27DH,Nối ren ngoài 42/27 DH,Cái,0
NRN42/27RM,Nối ren ngoài 42/27 RM,Cái,0
nrn42/34dh,Nối ren ngoài 42/34 DH,Cái,6940
NRN42/34RM,Nối ren ngoài 42/34 RM,Cái,0
NRN42BM,Nối ren ngoài BM Ø 42 dày,Cái,4489
nrn49/27dh,Nối ren ngoài 49/27 DH,Cái,3881
NRN49/34,Nối Ren Ngoài 49/34,Cái,6757
NRN49/34BM,Nối Ren Ngoài 49 Ø 34,Cái,8424
NRN49/34DH,Nối ren ngoài 49/34 DH,Cái,0
nrn49/34RM,Nối ren ngoài 49/34 RM,Cái,0
NRN49/42,Nối ren ngoài 49/42,Cái,2394
nrn49/42rm,Nối ren ngoài 49/42 RM,Cái,0
NRN49BM,Nối ren ngoài BM Ø 49 dày,Cái,5389
NRN50BMVN,Nối RN 50 x 1.1/2 BM VN,Cái,115297
NRN60BMD,Nối ren ngoài BM Ø 60 dày,Cái,7236
NRN63PPRBMVN,Nối ren ngoài Ø 63 x 2'' PP-R BM VN,Cái,321183
NRN90BMD,Nối ren ngoài BM Ø 90 dày,Cái,37800
NRND60/49,Nối RN 60/49 Dầy,Cái,0
nrt,Nối,Cái,2422819
NRT201/2PL,Nối ren trong Ø 20 x 1/2 PP-R PIPELIFE,Cái,62480
NRT20X1/2BMVN,Nối ren trong Ø 20*1/2 PP-R BM,Cái,15109
NRT2127BM,Nối ren trong 27 ống 21 BM,Cái,7503
NRT21BM,Nối ren trong BM Ø 21 dày,Cái,216
NRT21THAUBM,Nối ren trong BM Ø 21 thau,Cái,6318
NRT251/2BM,Nối ren trong Ø 25 1/2 PP-R BM,Cái,18836
NRT251/2DEN,Nối ren trong Ø 25 1/2 PP-R,Cái,4800
NRT251/2PL,Nối ren trong Ø 25 1/2 PP-R PIPELIFE,Cái,78100
NRT253/4BMVN,Nối ren trong Ø 25*3/4 PP-R BMVN,Cái,31048
NRT253/4PPRDEN,Nối ren trong Ø 25*3/4 PPR,Cái,6660
NRT2721BM,Nối ren trong 21 ống 27 nhựa BM,Cái,1650
NRT2721THAUBM,Nối ren trong 27 Ø 21 thau BM,Cái,5174
NRT27BM,Nối ren trong BM Ø 27 dày,Cái,1946
NRT27THAUBM,Nối ren trong BM Ø 27 thau,Cái,13461
NRT32BMVN,Nối ren trong Ø 32 x1'' PP-R,Cái,38542
NRT32PPRBMVN,Nối ren trong 32 x1 PPR BMVN,Cái,96136
NRT34/27,Nối ren trong 34  Ø 27,Cái,2420
NRT34/27D,Nối ren trong 27 ống Ø34  dày,Cái,3761
NRT34BM,Nối ren trong BM Ø 34 dày,Cái,6126
NRT40BM,Nối ren trong Ø 40*1 1/4 PP-R BM VN,Cái,96942
NRT42BM,Nối ren trong BM Ø 42 dày,Cái,3480
NRT49BM,Nối ren trong BM Ø 49 dày,Cái,9255
NRT50BM,Nối ren trong Ø 50*1 1/2 BM,Cái,164774
NRT60BM,Nối ren trong BM Ø 60 dày,Cái,7654
NRT63PPRBMVN,Nối ren trong Ø 63 PP-R BM VN,Cái,242231
NRT90BM,Nối ren trong BM Ø 90 dày,Cái,45036
NRTD27/34DH,Nối RT 27 Ø 34 ĐH dầy,Cái,2577
nrtrnd21d,Nối ren trong ren ngoài Ø 21 đồng,Cái,15311
NRTRND21INOX,Nối RT RN Ø 21 INOX,Cái,2174
NTTBMD114,Nối thông tắc Ø 114 mỏng,Cái,89100
NTTBMD90,Nối thông tắc Ø 90 mỏng,Cái,47628
NUTBITTHODIEN47,Nút bịt trợ điện 47,Cái,14720
NUTBITXARN114,Bít xả Ren Ngoài 114,Cái,47816
NUTBITXARN60,Bít xả ren ngoài 60,Cái,16873
NUTBITXARN90,Bít xả Ren Ngoài 90,Cái,16316
NUTCHUONG,Nút nhấn chuông chống thấm WBM,Cái,33696
O1684.3,"Ống lạnh BM Ø 168x4,3mm",Mét,206928
O2205.6,Ống lạnh BM Ø 220x5.6mm,Mét,372708
OCAM32CHAUSINO,Ổ cắm 3-2 chấu Sino 16A - VL S18U3,Cái,35620
OCAM3CHAUSINO-S18UE,Ổ cắm 3 chấu 16A - VL S18UE,Cái,29678
OCAMDIENTHOAIC,Ổ cắm điện thoại (có màn che) sizeS CONCEPT (3031RJ64M-G19),Cái,50402
OCAMDIENTHOAIZ,Ổ cắm điện thoại (có màn che) Size S ZENCELO A (8431SRJ4-BZ-G19),Cái,88591
OCAMDOI,Ổ cắm đôi nổi Lioa,Cái,15531
OCAMDOI2CHAU1LO,Ổ cắm đôi 2 chấu 1 lỗ Sino 16A - S18 - S18U2X,Cái,34616
OCAMDOI2CHAU2LOSINO,Ổ cắm đôi 2 chấu 2 lỗ Sino 16A - S18 - S18U2XX,Cái,37807
OCAMDOI2CHAUSINO,Ổ cắm đôi 2 chấu Sino 16A - VL S18U2,Cái,20438
OCAMDOI3CHAU,Ổ cắm đôi 3 chấu 16A CONCEPT (3426UEST2M-G19),Cái,54042
OCAMDOI3CHAUSINO,Ổ cắm đôi 3 chấu SINO 16A - VL S18UE2,Cái,51490
OCAMDOI3CHAUZ,Ổ cắm đôi 3 chấu 16A sizeL ZENCELO A (84426LUES-BZ-G19),Cái,98890
OCAMDON2CHAU1LOSINO,Ổ cắm đơn 2 chấu 1 Lỗ Sino 16A -S18 - VL S18UX,Cái,25702
OCAMDON2CHAU2LOSINO,Ổ cắm đơn 2 chấu 2 Lỗ Sino 16A -S18 - VL S18UXX,Cái,25702
OCAMDON2CHAUC,Ổ cắm đơn 2 chấu10A CONCEPT (3426USM-G19),Cái,29566
OCAMDON2CHAUSINOS18,Ổ cắm đơn 2 chấu Sino 16A - VL S18U,Cái,14874
OCAMDON2CHAUZ,Ổ cắm đơn 2 chấu 16A sizeS ZENCELO A (84426SUS-BZ-G19),Cái,45936
OCAMDON3CHAU1LOSINO,Ổ cắm đơn 3 chấu 1 Lỗ Sino 16A -S18 - VL S18UEX,Cái,31595
OCAMDON3CHAU2LOSINO,Ổ cắm đơn 3 chấu 2 Lỗ Sino 16A -S18 - VL S18UEXX,Cái,31595
OCAMDON3CHAUC,Ổ cắm đơn 3 chấu 16A CONCEPT(3426UESTM-G19),Cái,42108
OCAMDON3CHAUZ,Ổ cắm đơn 3 chấu 16A size2M ZENCELO A (84426MUES-BZ-G19),Cái,85492
OCAMMANG,Ổ cắm mạng CAT5E (có màn che) CONCEPT (3031RJ88SMA5-G19),Cái,224576
OCAMTV,Ổ Cắm TV Size S CONCEPT (3031TV75MS-G19),Cái,56144
OCAMTVSINO,Ổ cắm Tivi Sino,Cái,28260
OCAMTVZ,Ổ cắm Tivi size S ZENCELO A (8431STV-BZ-G19),Cái,88591
OHD25,Ống HDPE 25x2.3mm BM,Mét,12650
OHDPE32 3.6,Ống HDPE 32x 3.6,Mét,24200
OHDPE323.0mm,Ống HDPE 32 3.0mm,Mét,17050
ohtnd4701,Ống hấp thụ nhiệt Ø  47,Ống,0
ohtnd5801,Ống hấp thụ nhiệt Ø  58,Ống,53441
ohtnd5802,Ống hấp thụ nhiệt Ø  58 ống dầu,Ống,0
ohtnd5803,Ống hấp thụ nhiệt Ø  58  - QC,Ống,0
OL1143.1,"Ống lạnh BM Ø 114x3,1mm x 4m",Mét,59869
OL1144.5,Ống lạnh BM Ø 114x4.5mm x 4m,Mét,44702
OL1404.1,Ống lạnh BM Ø 140 x 4.1mm,Mét,100974
OL14067,"Ống lạnh BM Ø 140 x 6,7mm",Mét,278964
OL1684.5,Ống lạnh BM Ø 168x4.5mm,Mét,106454
OL211.7,"Ống lạnh BM Ø 21x1,7mm",Mét,3765
OL2130,Ống lạnh BM Ø 21 x 3.0 mm,Mét,12463
OL271.9,"Ống lạnh BM Ø 27x1,9mm",Mét,7938
OL273.0,Ống lạnh BM 27*3.0 mm,Mét,11091
OL32.29,Ống  lạnh PP-R Ø 32 x 2.9mm PP-R BM,Mét,21546
OL341.9,"Ống lạnh BM Ø 34x1,9mm",Mét,9097
OL343.0,Ống lạnh BM 34*3.0 mm,Mét,16302
OL40.37,Ống  lạnh PP-R Ø 40*3.7mm PP-R BM,Mét,26350
OL42.3,Ống lạnh BM Ø 42 x 3.0 mm,Mét,26960
OL421.9,Ống lạnh BM Ø 42*1.9mm,Mét,11653
OL422.2,Ống lạnh BM Ø 42*2.2mm,Mét,20839
OL492.1,Ống lạnh BM Ø 49*2.1mm,Mét,18902
OL601.8,Ống lạnh BM Ø 60*1.8mm,Mét,15450
OL602.5,Ống lạnh BM Ø 60*2.5mm,Mét,8349
OL902.6,"Ống lạnh BM Ø 90x2,6mm",Mét,39267
OL903.5,Ống lạnh BM 90*3.5 mm,Mét,34782
OLBMd11422,"Ống lạnh BM Ø 114x2,2mm x 4m",Mét,79272
OLBMd11432,"Ống lạnh BM Ø 114x3,2mm x 4m",Mét,104868
OLBMd11438,"Ống lạnh BM Ø 114x3,8mm x 4m",Mét,125913
OLBMd11449,"Ống lạnh BM Ø 114x4,9mm",Mét,129120
OLBMd16832,Ống lạnh BM Ø 168x3.2mm,Mét,167940
OLBMd16866,Ống lạnh BM Ø 168x6.6mm,Mét,329292
OLBMd16873,"Ống lạnh BM Ø 168x7,3mm",Mét,345600
OLBMD20059,Ống lạnh BM PVC 200x 5.9mm,Mét,358452
olbmd20096,"Ống lạnh PVC 200x9,6mm",Mét,567648
OLBMd21,"Ống lạnh BM Ø 21x1,6mm",Mét,9504
OLBMD22042,Ống lạnh BM Ø 220x4.2mm,Mét,280368
OLBMD2205.1,Ống lạnh BM Ø 220x5.1mm,Mét,540361
OLBMd27,"Ống lạnh BM Ø 27x1,8mm",Mét,13392
OLBMd2716,"Ống lạnh BM Ø 27x1,6mm",Mét,10174
olbmd31592,Ống BM PVC 315x9.2mm,Mét,876636
OLBMd34,Ống lạnh BM Ø 34x2mm,Mét,18792
OLBMd3422,Ống lạnh BM Ø 34x2.2mm,Mét,21708
OLBMd49,"Ống lạnh BM Ø 49x2,4mm",Mét,32508
OLBMd4925,Ống lạnh BM Ø 49*2.5mm,Mét,37044
OLBMd602,Ống lạnh BM Ø 60x2mm,Mét,34452
OLBMd6028,"Ống lạnh BM Ø 60x2,8mm",Mét,37767
OLBMD6030,Ống lạnh BM Ø 60x3.0mm,Mét,50112
OLBMD75X2.2,Ống lạnh BM Ø 75x2.2mm,Mét,41204
OLBMd9017,"Ống lạnh BM Ø 90x1,7mm",Mét,43956
OLBMd9029,"Ống lạnh BM Ø 90x2,9mm",Mét,74412
OLBMd9038,"Ống lạnh BM Ø 90x3,8mm",Mét,96228
old110,Ống lạnh PPR 110 10 bar 110x10mm,Cái,549936
OLD20.19,Ống  lạnh PP-R Ø 20 x1.9mm PP-R BM,Mét,10962
OLD25.23,"Ống  lạnh PP-R Ø 25 x 2,3mm PP-R BM",Mét,9357
OLD50.46,"Ống  lạnh PP-R Ø 50 x 4,6mm PP-R BM",Mét,44170
OLD63.58,"Ống  lạnh PP-R Ø 63 5,8mm PP-R BM",Mét,253692
OLd75BM,Ống  lạnh PP-R Ø 75 x 6.8mm PP-R BM,Mét,354240
OLD9082PPRBM,"Ống  lạnh PP-R Ø 90 x 8,2mm PP-R BM",Mét,343872
ond110bm,Ống nóng PPR 110 20bar 110x 18.3mm,Mét,868536
OND2034PL,Ống nóng PPR PIPELIFE 20X3.4mm PN20,Mét,54890
ONd20BM,"Ống  nóng PP-R Ø 20  x 3,4mm PP-R BM",Mét,5606
OND254.2UV,Ống nóng PPR DN25 x 4.2m Kháng UV,Mét,18645
OND2542PL,Ống nóng PPR PIPELIFE 25X4.2mm PN20,Mét,84370
ONd25BM,"Ống  nóng PP-R Ø 25 x 4,2mm PP-R BM",Mét,15877
ONd25DEN,Ống  nóng PP-R Ø 25 x 4.2mm đen,Mét,8050
OND3254PL,Ống nóng PPR PIPELIFE 32X5.4mm PN20,Mét,137060
ONd32BM,Ống  nóng PP-R Ø 32 x5.4mm PP-R BM,Mét,27758
ONd32DEN,Ống  nóng PP-R Ø 32 x 5.4mm đen,Mét,15450
ONd40BM,Ống  nóng PP-R Ø 40x6.7mm PP-R BM,Mét,40331
ONd50BM,Ống  nóng PP-R Ø 50 x 8.3mm PP-R BM,Mét,82128
ONd63BM,Ống  nóng PP-R Ø 63 x 10.5mm PP-R BM,Mét,122044
ONd75BM,Ống  nóng PP-R Ø 75 x 12.5mm PP-R BM,Mét,601776
OND90,Ống nóng PPR d90 20 bar 90 x15mm,Mét,674568
ONGCUNG16,Ống cứng 16 SINO - SP9016 - 750N,Cây,5936
ONGCUNG20,Ống cứng 20 SINO - SP9020 - 750N,Cây,9351
ONGCUNG25,Ống cứng 25 SINO - SP9025 - 750N,Cây,17158
ONGCUNG32,Ống cứng 32 SINO - SP9032 - 750N,Cây,70741
ONGDAU,Ống dầu 58,Cái,0
ONGDAU58,Ông Dầu 58,Ống,0
ONGDIEN25,Ống điện 25,Mét,7535
PC,P,Cái,0
PC21N,Phao cơ Ø 21 nhựa,Bộ,49937
PC21THONGMINH,Phao cơ thông minh ONPAS (21),Bộ,47000
PC27MIHA,Phao cơ  Mi Ha 27 đồng,Cái,215000
PC27N,Phao cơ Ø 27 nhựa,Bộ,43431
PC27ONPA,Phao cơ đồng Ø 27  ONPAS,Cái,160776
PC27THONGMINH,Phao cơ thông minh ONPAS (27),Bộ,100000
PCD,P,Cái,0
PCINOX21,Phao cơ inox 21,Cái,106250
PCINOX27,Phao cơ inox 27,Cái,105813
PCINOX34,Phao cơ inox 34,Bộ,205000
PCITALY27,Phao cơ  ITALIA 27,Cái,224500
PCM,Ph,Cái,0
PCONPAS21,Phao cơ đồng Ø 21 ONPAS,Cái,129700
PCONPAS34,Phao cơ dồng  Ø 34 ONPAS,Cái,379860
PHAODIEN,Phao điện,Bộ,37833
PHICHCAI,Phích Cắm Cái 10A - 250V,Cái,5679
PHICHDUC,Phích Cắm Đực,Cái,1007
PHIEUHDXAYCHAN,Phiếu hướng dẫn xây chân bồn lạnh,Tờ,0
PK5MON5200,Phụ kiện 5 món 5200,Bộ,906124
PT,Phm,Cái,0
PTS2.060,Phễu thu sàn 2.0X60 nhựa,Cái,0
PTS491.0,Phễu thoát sàn  Ø 49 1.0,Cái,0
PTS60/12VIRGO,Phễu thoát sàn 60 X1.2 inox 304 VIRGO,Bộ,90000
PTS60/15VIRGO,Phễu thoát sàn 60 X1.5 inox 304 VIRGO,Bộ,254906
PTS6012INOXKIMNGUYEN,Phễu thoát sàn 60 X1.2 Inox,Cái,79861
PTS6015INOX,Phễu thoát sàn 60 X1.5 inox,Cái,113026
PTS60X1.2ZICO,Phễu thoát sàn 60 X1.2 Zico HG02-12 X12,Cái,20000
PTS90/12VIRGO,Phễu thoát sàn 90 X1.2 inox 304 VIRGO,Bộ,142106
PTS90/15VIRGO,Phễu thoát sàn 90 X1.5 inox 304 VIRGO,Bộ,87804
PTS9012INOXKIMNGUYEN,Phễu thoát sàn 90 X1.2 Inox,Cái,138671
PTS9015INOX,Phễu thoát sàn 90 X1.5 inox,Cái,213396
PTS9015INOXKIMNGUYEN,Phễu thoát sàn 90 X1.5 inox Kim Nguyên,Cái,108229
PTSD4210,Phễu thoát sàn  Ø 42 1.0,Cái,0
PTSD6012,Phễu thoát sàn  Ø 60 1.2,Cái,0
PTSD6015,"Phễu thoát sàn  Ø 60 1,5",Cái,30592
PTSD9015,Phễu thoát sàn  Ø 90 1.5 Nhựa,Cái,23087
QCLR114,Qủa cầu lọc rác Inox Ø 114,Cái,87741
QCLR60I,Qủa cầu lọc rác Inox Ø 60,Cái,12333
QCLR90I,Qủa cầu lọc rác Inox Ø 90,Cái,12892
QH,Q,Bộ,0
QUATHUTAMTRAN,Quạt hút âm trần toalet,Cái,218592
R,o,Cái,0
R0,Rắc co 34 taijan,Cái,21400
R1,R,Cái,173800
RACCO20BM,Rắc co hàn Ø 20 PP-R BM,Cái,67431
RACCO20PL,Racco hàn Ø 20 PP-R PIPELIFE,Cái,39240
RACCO21BM,Rắc co (khớp nối) Ø 21  BM,Cái,8534
RACCO21TAIJAN,Rắc co  21 Tai Jan,Cái,8625
RACCO25BM,Rắc co hàn Ø 25 PP-R BM,Cái,23448
RACCO25PL,Racco hàn Ø 25 PP-R PIPELIFE,Cái,219450
RACCO27BM,Rắc co (khớp nối) Ø 27 BM,Cái,9402
RACCO27TAIJAN,Rắc co 27 taijan,Cái,14700
RACCO32BMVN,Rắc co hàn Ø 32 PP-R BMVN,Cái,35706
RACCO32PL,Rắc co hàn Ø 32 PP-R PIPELIFE,Cái,309540
RACCO34BM,Rắc co (khớp nối) Ø 34 BM,Cái,11338
RACCO40BMVN,Rắc co hàn Ø 40 PP-R BMVN,Cái,37506
RACCO42BM,Rắc co (khớp nối) Ø 42 BM,Cái,14283
RACCO42DH,Rắc co Ø 42 Đạt hòa,Cái,104229
RACCO49BM,Rắc co (khớp nối) Ø 49 BM,Cái,25764
RACCO60BM,Rắc co (khớp nối) Ø 60 BM,Cái,32884
RACCO60TAIJAN,Rắc co Ø 60 Taijan,Cái,92676
RACCORND32XANH,Racco ren ngoài D32*1,.Cái,244401
RACO42TAIJAN,Rắc co 42 taijan,Cái,29500
RACO49DH,Racco Ø 49 Đạt hòa,Cái,40300
RACO49TAIJAN,Rắc co 49 taijan,Cái,42700
RACORT25INOX,Rắc co ren trong 25 3/4 inox 304,Cái,32000
RCN60,Rắc co nhựa 60,Cái,0
RCRN25*3/4BM,Racco ren ngoài Inox Ø 25*3/4 PP-R BM,Cái,48552
RCRN25*3/4XANH,Racco ren ngoài Inox Ø 25*3/4 PP-R,Cái,10439
RCRN32,Racco ren ngoài  Inox Ø 32*1 BM,Cái,95692
RCRN32*3/4,Racco ren ngoài D32 ống 25,.Cái,66258
RCRN40BM,Racco ren ngoài Inox Ø 40*1.1/4 PP-R BM,Cái,144053
RCRN50BM,Racco ren ngoài Inox Ø 50*1.1/2 PP-R BM,Cái,199622
RCRN63BM,Rắc co ren ngoài Ø 63 x 2'' PP-R BM VN,Cái,356242
RCRT20*1/2PPRBM,Racco ren trong Inox Ø 20*1/2 PP-R BM,Cái,114070
RCRT25*3/4PPRBM,Racco ren trong Inox Ø 25*3/4 PP-R BM,Cái,54555
RCRT25*3/4PPRXANH,Racco ren trong Ø 25*3/4 PP-R  Inox,Cái,48529
RCRT32*1BM,Racco ren trong  Inox Ø 32*1 BM,Cái,85722
RCRT40BM,Racco ren trong Inox Ø 40*1.1/4 PP-R BM,Cái,407693
RCRT50BM,Racco ren trong Inox Ø 50*1.1/ 2 PP-R BM,Cái,250250
RCRT63BM,Racco ren trong Ø 63 x 2'' PP-R BM VN,Cái,326334
REN20,Đầu + khớp nối ren 20 E258 + 281/20 Sino - 60c/1 bịch,Cái,1950
REN25,Đầu + khớp nối ren 25 E258 + 281/20 Sino - 35c/1 bịch,Cái,2470
RN253/4HDPE,Ren ngoài 25 x3/4 Mã lai,Cái,30000
RONN20,Ron 20,Cái,1200
ROON58,Ronn 58,Cái,1939
ROONG25,Roong 25,Cái,904
roong32,Roong 32,Cái,0
ROONG47,Roong 47,Cái,4290
RRT2DINOX27,Rắc co ren trong 2 đầu inox 27,Cái,90000
RT,R,Cái,208656
RT253/4HDPE,Ren trong 25 x 3/4 HDPE Mã lai,Cái,30000
RUMINED21NHUA,Ru mi nê D21 nhựa,Cái,25000
RUMINEMIHA21,Rumine 21 MIHA,Cái,120172
RUMINEMIHA27,Rumine 27 MIHA,Cái,120000
RUOTGA16,Ruột gà 16 SINO SP9016CM (50m/cuộn),Mét,2407
RUOTGA20,Ruột gà 20 SINO SP9020CM (50m/cuộn),Mét,2428
RUOTGA20CAMEL,Ruột gà 20 CAMEL SP9020CM (50m/cuộn),Mét,988
RUOTGA20CAMELTRANG,Ruột gà 20 CAMEL SP9020CM Trắng (50m/cuộn),Mét,859
RUOTGA20TIENPHAT,Ruột gà 20 Tiến Phát (50m/cuộn),Mét,1664
RUOTGA25,Ruột gà 25 SINO SP9025CM (40m/cuộn),Mét,3381
RUOTGA25CAMEL,Ruột gà 25 CAMEL SP9025CM (50m/cuộn),Mét,804
RUOTGA25CAMELTRANG,Ruột gà 25 CAMEL SP9025CM Trắng (50m/cuộn),Mét,590
RUOTGA25NANO,Ruột gà 25 Nano Trắng (40m/cuộn),Mét,4360
RUOTGA32,Ruột gà 32 (50m/cuộn),Mét,5200
RUOTGA32/25,Ruột gà nhựa xoắn HPDE 32/25,Mét,15068
RUOTGA32SINO,Ruột gà 32 SINO (25m/cuộn),Mét,7891
RUOTGA40/32,Ruột gà nhựa xoắn HPDE 40/32,Mét,12874
RUOTGA50/40,Ruột gà nhựa xoắn HPDE 50/40,Mét,18490
S,Ti,Bộ,0
SENBFV1403S-4C,Vòi Sen nóng lạnh BFV 1403S - 4C,Cái,0
SENBFV-3413T-3C,Vòi sen BFV - 3413T - 3C,Bộ,3432000
SENCAY1205S,Sen tắm cây Inax BFV-1205S,Bộ,19565800
SENCAY1305S,Sen Cây Inax BFV - 1305S,Bộ,3067400
SENCAY13066,Sen tắmcây 13066X virgo,Bộ,10619556
SENCAY13066W,Sen tắmcây 13066Wvirgo,Bộ,2600000
